,Name,Link,size
18,Charlie's Restaurant & Bar (Boat Quay),https://www.google.com/maps/place/Charlie%27s+Restaurant+%26+Bar+%28Boat+Quay%29/data=!4m7!3m6!1s0x31da190bcfef1d0f:0x6d2e614b2f5327eb!8m2!3d1.2862228!4d103.8498206!16s%2Fg%2F1twyx11d!19sChIJDx3vzwsZ2jER6ydTL0thLm0?authuser=0&hl=en&rclk=1,5
19,Chef Kang's Private Kitchen,https://www.google.com/maps/place/Chef+Kang%27s+Private+Kitchen/data=!4m7!3m6!1s0x31da180d510eebad:0x4dd4eb5be4a45b6a!8m2!3d1.3046412!4d103.8495641!16s%2Fg%2F1tk6mvk_!19sChIJresOUQ0Y2jERaluk5Fvr1E0?authuser=0&hl=en&rclk=1,1
20,Coucou Authentic Swiss Restaurant and Bar,https://www.google.com/maps/place/Coucou+Authentic+Swiss+Restaurant+and+Bar/data=!4m7!3m6!1s0x31da19e8a4292d4f:0x56bd428111c1a77b!8m2!3d1.2776438!4d103.842759!16s%2Fg%2F11j0w7rllk!19sChIJTy0ppOgZ2jERe6fBEYFCvVY?authuser=0&hl=en&rclk=1,2
21,Crystal Jade Golden Palace,https://www.google.com/maps/place/Crystal+Jade+Golden+Palace/data=!4m7!3m6!1s0x31da1992320efb97:0x6b11e9fd941f7514!8m2!3d1.3042445!4d103.8359067!16s%2Fg%2F1v0lh8r1!19sChIJl_sOMpIZ2jERFHUflP3pEWs?authuser=0&hl=en&rclk=1,6
22,Dark Horse Japanese Restaurant & Bar,https://www.google.com/maps/place/Dark+Horse+Japanese+Restaurant+%26+Bar/data=!4m7!3m6!1s0x31da19388f62ff05:0xfc19fd72f3e5e754!8m2!3d1.2860955!4d103.8499191!16s%2Fg%2F11hy_qfysb!19sChIJBf9ijzgZ2jERVOfl83L9Gfw?authuser=0&hl=en&rclk=1,9
23,Empress,https://www.google.com/maps/place/Empress/data=!4m7!3m6!1s0x31da1909972e7bd5:0x93fdc02ec4086fbc!8m2!3d1.2873802!4d103.8512492!16s%2Fg%2F11c5bll9rz!19sChIJ1XsulwkZ2jERvG8IxC7A_ZM?authuser=0&hl=en&rclk=1,22
24,Esquina,https://www.google.com/maps/place/Esquina/data=!4m7!3m6!1s0x31da197280f0cf7b:0x927ef8d48e2676cc!8m2!3d1.2798595!4d103.8420714!16s%2Fg%2F11b7cg7xfb!19sChIJe8_wgHIZ2jERzHYmjtT4fpI?authuser=0&hl=en&rclk=1,15
25,FOC Restaurant,https://www.google.com/maps/place/FOC+Restaurant/data=!4m7!3m6!1s0x31da196d66892a49:0x716ef7911d8976b8!8m2!3d1.2873167!4d103.847462!16s%2Fg%2F11btmqjlbr!19sChIJSSqJZm0Z2jERuHaJHZH3bnE?authuser=0&hl=en&rclk=1,20
26,Famous Treasure Chinese Restaurant,https://www.google.com/maps/place/Famous+Treasure+Chinese+Restaurant/data=!4m7!3m6!1s0x31da190d42e97921:0x7b03e6cf73047d5!8m2!3d1.2930416!4d103.8511378!16s%2Fg%2F11gj650j7c!19sChIJIXnpQg0Z2jER1Ucw92w-sAc?authuser=0&hl=en&rclk=1,1
27,Firangi Superstar,https://www.google.com/maps/place/Firangi+Superstar/data=!4m7!3m6!1s0x31da19b056ab6d9b:0xe456fe4872986c1e!8m2!3d1.2777534!4d103.8425009!16s%2Fg%2F11r4kp4cvn!19sChIJm22rVrAZ2jERHmyYckj-VuQ?authuser=0&hl=en&rclk=1,7
28,Fleur De Sel Le Restaurant,https://www.google.com/maps/place/Fleur+De+Sel+Le+Restaurant/data=!4m7!3m6!1s0x31da196d2f0565a7:0x48d60e27daf22f24!8m2!3d1.2777778!4d103.8441667!16s%2Fg%2F1pp2wx_4s!19sChIJp2UFL20Z2jERJC_y2icO1kg?authuser=0&hl=en&rclk=1,11
29,Forbidden Duck,https://www.google.com/maps/place/Forbidden+Duck/data=!4m7!3m6!1s0x31da19f11744e4cb:0x4a4a8413af033a35!8m2!3d1.2793974!4d103.8546647!16s%2Fg%2F11g07_ck0q!19sChIJy-REF_EZ2jERNToDrxOESko?authuser=0&hl=en&rclk=1,18
30,Forum Seafood Village Restaurant,https://www.google.com/maps/place/Forum+Seafood+Village+Restaurant/data=!4m7!3m6!1s0x31da190bcb5f9313:0x24d14a1258e0587b!8m2!3d1.2866992!4d103.8495874!16s%2Fg%2F1td10sm2!19sChIJE5NfywsZ2jERe1jgWBJK0SQ?authuser=0&hl=en&rclk=1,10
31,GEMMA Restaurant,https://www.google.com/maps/place/GEMMA+Restaurant/data=!4m7!3m6!1s0x31da1991febe31fd:0x95af9da06edeb1fd!8m2!3d1.2908546!4d103.8519592!16s%2Fg%2F11hsw9_w4z!19sChIJ_TG-_pEZ2jER_bHebqCdr5U?authuser=0&hl=en&rclk=1,15
32,Gaig Singapore,https://www.google.com/maps/place/Gaig+Singapore/data=!4m7!3m6!1s0x31da190d9c77f433:0x6387fcf3dbbebfbe!8m2!3d1.280476!4d103.84807!16s%2Fg%2F11dff6t58w!19sChIJM_R3nA0Z2jERvr--2_P8h2M?authuser=0&hl=en&rclk=1,19
33,Godmama - Peranakan Restaurant Singapore,https://www.google.com/maps/place/Godmama+-+Peranakan+Restaurant+Singapore/data=!4m7!3m6!1s0x31da195fb4fd0ce9:0x4e83265f3e314649!8m2!3d1.2914102!4d103.849955!16s%2Fg%2F11fm4b2xky!19sChIJ6Qz9tF8Z2jERSUYxPl8mg04?authuser=0&hl=en&rclk=1,6
34,Grand Shanghai Restaurant,https://www.google.com/maps/place/Grand+Shanghai+Restaurant/data=!4m7!3m6!1s0x31da199d135ed917:0xc3b6b1e4b91de1e2!8m2!3d1.2896087!4d103.8358913!16s%2Fg%2F1tfd9zy1!19sChIJF9leE50Z2jER4uEdueSxtsM?authuser=0&hl=en&rclk=1,3
35,Gunther's,https://www.google.com/maps/place/Gunther%27s/data=!4m7!3m6!1s0x31da19a5732a69d1:0xf89d62359bbaa999!8m2!3d1.2966208!4d103.8549145!16s%2Fg%2F1thx63h2!19sChIJ0Wkqc6UZ2jERmam6mzVinfg?authuser=0&hl=en&rclk=1,12
36,Hai Tien Lo,https://www.google.com/maps/place/Hai+Tien+Lo/data=!4m7!3m6!1s0x31da19a89241d8d7:0xecd3fdc351d4b08b!8m2!3d1.2920683!4d103.8587008!16s%2Fg%2F1tctp5j7!19sChIJ19hBkqgZ2jERi7DUUcP90-w?authuser=0&hl=en&rclk=1,3
37,Harry's Marina Bay Link Mall,https://www.google.com/maps/place/Harry%27s+Marina+Bay+Link+Mall/data=!4m7!3m6!1s0x31da190fccc86f5d:0x7301dfbc9ffbdc7a!8m2!3d1.2799447!4d103.8547618!16s%2Fg%2F1tsjb5gf!19sChIJXW_IzA8Z2jERetz7n7zfAXM?authuser=0&hl=en&rclk=1,2
38,Hashida Singapore,https://www.google.com/maps/place/Hashida+Singapore/data=!4m7!3m6!1s0x31da19b487a8b909:0xab631adc6df4260a!8m2!3d1.2805457!4d103.8466433!16s%2Fg%2F11qpscb6qr!19sChIJCbmoh7QZ2jERCib0bdwaY6s?authuser=0&hl=en&rclk=1,10
39,Iggy's,https://www.google.com/maps/place/Iggy%27s/data=!4m7!3m6!1s0x31da198cf1020615:0xa302b5d917cc6269!8m2!3d1.3060925!4d103.8292236!16s%2Fm%2F05zhkyx!19sChIJFQYC8YwZ2jERaWLMF9m1AqM?authuser=0&hl=en&rclk=1,2
40,JAAN By Kirk Westaway,https://www.google.com/maps/place/JAAN+By+Kirk+Westaway/data=!4m7!3m6!1s0x31da19a67e1cda67:0xbcb02ae2c4565ec0!8m2!3d1.2933448!4d103.85309!16s%2Fg%2F1tcvwyr9!19sChIJZ9ocfqYZ2jERwF5WxOIqsLw?authuser=0&hl=en&rclk=1,18
41,JUMBO Signatures,https://www.google.com/maps/place/JUMBO+Signatures/data=!4m7!3m6!1s0x31da19605cf03edf:0x399aa017212b41bc!8m2!3d1.2820379!4d103.8575819!16s%2Fg%2F11ptzn3cg3!19sChIJ3z7wXGAZ2jERvEErIRegmjk?authuser=0&hl=en&rclk=1,12
42,Jiang-Nan Chun,https://www.google.com/maps/place/Jiang-Nan+Chun/data=!4m7!3m6!1s0x31da198c60f1baa9:0xf27b51293cfa7bd2!8m2!3d1.3051922!4d103.8284188!16s%2Fg%2F1v8y1kk7!19sChIJqbrxYIwZ2jER0nv6PClRe_I?authuser=0&hl=en&rclk=1,4
43,KOMA Singapore,https://www.google.com/maps/place/KOMA+Singapore/data=!4m7!3m6!1s0x31da196f62183517:0x201cdcc7ab2388b3!8m2!3d1.2856843!4d103.8597076!16s%2Fg%2F11h196rl5p!19sChIJFzUYYm8Z2jERs4gjq8fcHCA?authuser=0&hl=en&rclk=1,18
44,Kinki Restaurant + Bar,https://www.google.com/maps/place/Kinki+Restaurant+%2B+Bar/data=!4m7!3m6!1s0x31da190efd61c3a3:0xd0e6c9ca38b6d438!8m2!3d1.2824913!4d103.8534753!16s%2Fg%2F1tmqcr1m!19sChIJo8Nh_Q4Z2jERONS2OMrJ5tA?authuser=0&hl=en&rclk=1,23
45,Kok Sen Restaurant,https://www.google.com/maps/place/Kok+Sen+Restaurant/data=!4m7!3m6!1s0x31da19727cde43d5:0x83d2647b26f90e37!8m2!3d1.2794333!4d103.8416097!16s%2Fg%2F1tp24swp!19sChIJ1UPefHIZ2jERNw75Jntk0oM?authuser=0&hl=en&rclk=1,11
46,"Komala Vilas Restaurant, Singapore","https://www.google.com/maps/place/Komala+Vilas+Restaurant,+Singapore/data=!4m7!3m6!1s0x31da19b8c1b5ecb9:0x4905ed18747f7cb9!8m2!3d1.3064867!4d103.8519244!16s%2Fg%2F1tfpgb39!19sChIJuey1wbgZ2jERuXx_dBjtBUk?authuser=0&hl=en&rclk=1",2
47,LAVO Italian Restaurant And Rooftop Bar,https://www.google.com/maps/place/LAVO+Italian+Restaurant+And+Rooftop+Bar/data=!4m7!3m6!1s0x31da19043fe71ab1:0x3bc18b8c49bf4299!8m2!3d1.2826231!4d103.8600999!16s%2Fg%2F11f3zms39x!19sChIJsRrnPwQZ2jERmUK_SYyLwTs?authuser=0&hl=en&rclk=1,12
48,Lawry's The Prime Rib Singapore,https://www.google.com/maps/place/Lawry%27s+The+Prime+Rib+Singapore/data=!4m7!3m6!1s0x31da199220d20b9f:0xf9880657f2be22a5!8m2!3d1.3018632!4d103.8369979!16s%2Fg%2F1tl_j6w1!19sChIJnwvSIJIZ2jERpSK-8lcGiPk?authuser=0&hl=en&rclk=1,12
49,Le Jardin Restaurant,https://www.google.com/maps/place/Le+Jardin+Restaurant/data=!4m7!3m6!1s0x31da1966cab5f257:0xadbf422f192dd6df!8m2!3d1.2947615!4d103.8469286!16s%2Fg%2F11p14cgl85!19sChIJV_K1ymYZ2jER39YtGS9Cv60?authuser=0&hl=en&rclk=1,16
50,Les Amis,https://www.google.com/maps/place/Les+Amis/data=!4m7!3m6!1s0x31da198d6d839c47:0xb9387abec42c67e8!8m2!3d1.3066019!4d103.8314361!16s%2Fg%2F11g7z094p7!19sChIJR5yDbY0Z2jER6GcsxL56OLk?authuser=0&hl=en&rclk=1,7
51,Liberty Singapore,https://www.google.com/maps/place/Liberty+Singapore/data=!4m7!3m6!1s0x31da19533c0f4077:0xfa3f72a40aff55fd!8m2!3d1.2792567!4d103.8536682!16s%2Fg%2F11t_wkwpsn!19sChIJd0APPFMZ2jER_VX_CqRyP_o?authuser=0&hl=en&rclk=1,3
52,Little Bowl Singapore,https://www.google.com/maps/place/Little+Bowl+Singapore/data=!4m7!3m6!1s0x31da190eb63dc4e1:0x95207bf4baceb81!8m2!3d1.2776381!4d103.852424!16s%2Fg%2F11d_dyj6mk!19sChIJ4cQ9tg4Z2jERgeusS78HUgk?authuser=0&hl=en&rclk=1,4
53,Lolla,https://www.google.com/maps/place/Lolla/data=!4m7!3m6!1s0x31da190d4463a643:0xbce484e8fd0c8ee9!8m2!3d1.2809785!4d103.845602!16s%2Fg%2F1hhm3mwrx!19sChIJQ6ZjRA0Z2jER6Y4M_eiE5Lw?authuser=0&hl=en&rclk=1,22
54,Luke's Oyster Bar & Chop House,https://www.google.com/maps/place/Luke%27s+Oyster+Bar+%26+Chop+House/data=!4m7!3m6!1s0x31da190cfc46baf9:0xbfc2c58f932049b2!8m2!3d1.282187!4d103.847226!16s%2Fg%2F1td5tn__!19sChIJ-bpG_AwZ2jERskkgk4_Fwr8?authuser=0&hl=en&rclk=1,19
55,MERCI MARCEL,https://www.google.com/maps/place/MERCI+MARCEL/data=!4m7!3m6!1s0x31da19a9b6cb0ba1:0xf48a1a8f9f59e528!8m2!3d1.2826433!4d103.8471483!16s%2Fg%2F11f655ql_v!19sChIJoQvLtqkZ2jERKOVZn48aivQ?authuser=0&hl=en&rclk=1,16
56,Majestic Restaurant,https://www.google.com/maps/place/Majestic+Restaurant/data=!4m7!3m6!1s0x31da1912308ffff3:0x79acd6b99b2f3477!8m2!3d1.2779663!4d103.8528486!16s%2Fg%2F11gf8fm8m_!19sChIJ8_-PMBIZ2jERdzQvm7nWrHk?authuser=0&hl=en&rclk=1,19
57,Man Fu Yuan Restaurant,https://www.google.com/maps/place/Man+Fu+Yuan+Restaurant/data=!4m7!3m6!1s0x31da19a535919dc5:0x3590a305c81f246e!8m2!3d1.298505!4d103.855053!16s%2Fg%2F1tgcjtlj!19sChIJxZ2RNaUZ2jERbiQfyAWjkDU?authuser=0&hl=en&rclk=1,13
