,Name,Link,size
79,Pura Brasa Singapore,https://www.google.com/maps/place/Pura+Brasa+Singapore/data=!4m7!3m6!1s0x31da19131823ca01:0xac793dffcd0ff380!8m2!3d1.2766695!4d103.8462753!16s%2Fg%2F11g8lqplxb!19sChIJAcojGBMZ2jERgPMPzf89eaw?authuser=0&hl=en&rclk=1,8
80,Rendezvous Restaurant Hock Lock Kee,https://www.google.com/maps/place/Rendezvous+Restaurant+Hock+Lock+Kee/data=!4m7!3m6!1s0x31da190a9bbec0d7:0x35b0563210393588!8m2!3d1.289174!4d103.846216!16s%2Fg%2F11r97xg_w!19sChIJ18C-mwoZ2jERiDU5EDJWsDU?authuser=0&hl=en&rclk=1,2
81,Restaurant Euphoria,https://www.google.com/maps/place/Restaurant+Euphoria/data=!4m7!3m6!1s0x31da1927e09ed6f7:0xc8722006f054d784!8m2!3d1.2774708!4d103.8441306!16s%2Fg%2F11lgrqsz_0!19sChIJ99ae4CcZ2jERhNdU8AYgcsg?authuser=0&hl=en&rclk=1,17
82,Restaurant Fiz,https://www.google.com/maps/place/Restaurant+Fiz/data=!4m7!3m6!1s0x31da195fe236cb27:0x5b6b71d5b37f7798!8m2!3d1.2796868!4d103.8440099!16s%2Fg%2F11twq106xc!19sChIJJ8s24l8Z2jERmHd_s9Vxa1s?authuser=0&hl=en&rclk=1,14
83,Restaurant Ibid,https://www.google.com/maps/place/Restaurant+Ibid/data=!4m7!3m6!1s0x31da190bae4d46cd:0x281bbaa16152ead9!8m2!3d1.2864337!4d103.8483365!16s%2Fg%2F11f3x582jr!19sChIJzUZNrgsZ2jER2epSYaG6Gyg?authuser=0&hl=en&rclk=1,2
84,Restaurant Matera,https://www.google.com/maps/place/Restaurant+Matera/data=!4m7!3m6!1s0x31da190b7bbe393b:0x7ad637312a20bac3!8m2!3d1.2870904!4d103.8534667!16s%2Fg%2F11svfbh0vh!19sChIJOzm-ewsZ2jERw7ogKjE31no?authuser=0&hl=en&rclk=1,7
85,Restaurant Reve - Singapore,https://www.google.com/maps/place/Restaurant+Reve+-+Singapore/data=!4m7!3m6!1s0x31da19077973f861:0x2404be1c4a383288!8m2!3d1.2808874!4d103.8421136!16s%2Fg%2F11p6f2x52b!19sChIJYfhzeQcZ2jERiDI4Shy-BCQ?authuser=0&hl=en&rclk=1,11
86,Revolver,https://www.google.com/maps/place/Revolver/data=!4m7!3m6!1s0x31da19165cf8190f:0x6628d2a0edc4b1ad!8m2!3d1.2779485!4d103.8442501!16s%2Fg%2F11q8tyfybk!19sChIJDxn4XBYZ2jERrbHE7aDSKGY?authuser=0&hl=en&rclk=1,7
87,Ristorante Luka - Tanjong Pagar,https://www.google.com/maps/place/Ristorante+Luka+-+Tanjong+Pagar/data=!4m7!3m6!1s0x31da1972a6611247:0x38e6691b73e7238c!8m2!3d1.2799892!4d103.8438547!16s%2Fg%2F11g72n5y63!19sChIJRxJhpnIZ2jERjCPncxtp5jg?authuser=0&hl=en&rclk=1,12
88,Rosemead Singapore,https://www.google.com/maps/place/Rosemead+Singapore/data=!4m7!3m6!1s0x31da1994726346e3:0xfeb3d84c4837c26f!8m2!3d1.2824433!4d103.8505403!16s%2Fg%2F11sh02_1r1!19sChIJ40ZjcpQZ2jERb8I3SEzYs_4?authuser=0&hl=en&rclk=1,22
89,SABAR Singapore,https://www.google.com/maps/place/SABAR+Singapore/data=!4m7!3m6!1s0x31da19a2dc859441:0x5c4801f77d060d40!8m2!3d1.2744954!4d103.8436338!16s%2Fg%2F11j_wvp_t7!19sChIJQZSF3KIZ2jERQA0GffcBSFw?authuser=0&hl=en&rclk=1,7
90,SOS Bar Restaurant,https://www.google.com/maps/place/SOS+Bar+Restaurant/data=!4m7!3m6!1s0x31da190e4782d973:0x860ddc1854807df8!8m2!3d1.2805865!4d103.8527915!16s%2Fg%2F11c523xxql!19sChIJc9mCRw4Z2jER-H2AVBjcDYY?authuser=0&hl=en&rclk=1,3
91,Saint Pierre,https://www.google.com/maps/place/Saint+Pierre/data=!4m7!3m6!1s0x31da19757b5fe0d9:0xce0b3ddd0be8b558!8m2!3d1.2862514!4d103.8542577!16s%2Fg%2F1wn315nd!19sChIJ2eBfe3UZ2jERWLXoC909C84?authuser=0&hl=en&rclk=1,23
92,Saveur Bistro,https://www.google.com/maps/place/Saveur+Bistro/data=!4m7!3m6!1s0x31da19a56d49ed37:0x40bfafc48f074625!8m2!3d1.296736!4d103.8549624!16s%2Fg%2F1hc2y3y6f!19sChIJN-1JbaUZ2jERJUYHj8Svv0A?authuser=0&hl=en&rclk=1,14
93,"Shabestan, Finest Persian Restaurant","https://www.google.com/maps/place/Shabestan,+Finest+Persian+Restaurant/data=!4m7!3m6!1s0x31da199ef1891b27:0x50b7fbad9ac2eae1!8m2!3d1.2910376!4d103.8405841!16s%2Fg%2F1pp2vchlt!19sChIJJxuJ8Z4Z2jER4erCmq37t1A?authuser=0&hl=en&rclk=1",16
94,Shikar,https://www.google.com/maps/place/Shikar/data=!4m7!3m6!1s0x31da19961991e5c7:0x233ab5c596855c75!8m2!3d1.2788776!4d103.8444008!16s%2Fg%2F11q94fhykl!19sChIJx-WRGZYZ2jERdVyFlsW1OiM?authuser=0&hl=en&rclk=1,4
95,Shinji by Kanesaka,https://www.google.com/maps/place/Shinji+by+Kanesaka/data=!4m7!3m6!1s0x31da198b0cddc5a3:0x774d874492691b82!8m2!3d1.3056718!4d103.8259335!16s%2Fg%2F11b6pwczb6!19sChIJo8XdDIsZ2jERghtpkkSHTXc?authuser=0&hl=en&rclk=1,4
96,Shinji by Kanesaka,https://www.google.com/maps/place/Shinji+by+Kanesaka/data=!4m7!3m6!1s0x31da19a5a7fb3e85:0xea2188bcabd0ad41!8m2!3d1.2959926!4d103.8522663!16s%2Fg%2F1tf9_hzf!19sChIJhT77p6UZ2jERQa3Qq7yIIeo?authuser=0&hl=en&rclk=1,14
97,Shoukouwa Restaurant,https://www.google.com/maps/place/Shoukouwa+Restaurant/data=!4m7!3m6!1s0x31da1908e6c65fbb:0x94f417144978b2fc!8m2!3d1.2857128!4d103.8538902!16s%2Fg%2F11cm0x3lmz!19sChIJu1_G5ggZ2jER_LJ4SRQX9JQ?authuser=0&hl=en&rclk=1,23
98,Singapore Super Hi Dining Pte. Ltd.,https://www.google.com/maps/place/Singapore+Super+Hi+Dining+Pte.+Ltd./data=!4m7!3m6!1s0x31da199c05d5de0f:0x3d3c2e66049b54fd!8m2!3d1.2801944!4d103.8493108!16s%2Fg%2F11t2fptrqm!19sChIJD97VBZwZ2jER_VSbBGYuPD0?authuser=0&hl=en&rclk=1,10
99,Sommer,https://www.google.com/maps/place/Sommer/data=!4m7!3m6!1s0x31da199752560b85:0x2670f5e0157e8a66!8m2!3d1.2811436!4d103.8530077!16s%2Fg%2F11llkcv9gs!19sChIJhQtWUpcZ2jERZop-FeD1cCY?authuser=0&hl=en&rclk=1,23
100,Song Garden Chinese Restaurant,https://www.google.com/maps/place/Song+Garden+Chinese+Restaurant/data=!4m7!3m6!1s0x31da19bb18edf3d5:0x9a15125792457c47!8m2!3d1.2995051!4d103.8532348!16s%2Fg%2F11c73099np!19sChIJ1fPtGLsZ2jERR3xFklcSFZo?authuser=0&hl=en&rclk=1,8
101,Straits Chinese Nonya Restaurant 土生坊正宗娘惹餐馆 (1953),https://www.google.com/maps/place/Straits+Chinese+Nonya+Restaurant+%E5%9C%9F%E7%94%9F%E5%9D%8A%E6%AD%A3%E5%AE%97%E5%A8%98%E6%83%B9%E9%A4%90%E9%A6%86+%281953%29/data=!4m7!3m6!1s0x31da190d8cc074f5:0xc1c8cc5fe3a221e5!8m2!3d1.2802561!4d103.8489721!16s%2Fg%2F124t4b6f7!19sChIJ9XTAjA0Z2jER5SGi41_MyME?authuser=0&hl=en&rclk=1,18
102,Summer Pavilion,https://www.google.com/maps/place/Summer+Pavilion/data=!4m7!3m6!1s0x31da19a9b0062087:0x89bff20918842d33!8m2!3d1.2906013!4d103.8603033!16s%2Fg%2F1th592rh!19sChIJhyAGsKkZ2jERMy2EGAnyv4k?authuser=0&hl=en&rclk=1,11
103,Super Loco Customs House,https://www.google.com/maps/place/Super+Loco+Customs+House/data=!4m7!3m6!1s0x31da190f29c69057:0x39279078f63654fe!8m2!3d1.2824428!4d103.8536865!16s%2Fg%2F1vspp068!19sChIJV5DGKQ8Z2jER_lQ29niQJzk?authuser=0&hl=en&rclk=1,23
104,The Coconut Club,https://www.google.com/maps/place/The+Coconut+Club/data=!4m7!3m6!1s0x31da190d303737d9:0x975d59c5327a435e!8m2!3d1.3006368!4d103.8601786!16s%2Fg%2F11c1xqy7hd!19sChIJ2Tc3MA0Z2jERXkN6MsVZXZc?authuser=0&hl=en&rclk=1,3
105,"The Feather Blade | Steak, Burgers & Cocktail Bar","https://www.google.com/maps/place/The+Feather+Blade+%7C+Steak,+Burgers+%26+Cocktail+Bar/data=!4m7!3m6!1s0x31da19a2591c802b:0xf9aed030350774dd!8m2!3d1.278353!4d103.8438801!16s%2Fg%2F11h08hzd4b!19sChIJK4AcWaIZ2jER3XQHNTDQrvk?authuser=0&hl=en&rclk=1",10
106,The Masses Singapore,https://www.google.com/maps/place/The+Masses+Singapore/data=!4m7!3m6!1s0x31da19af8ba0ed5d:0xb1fc72f334e846af!8m2!3d1.2973039!4d103.8565789!16s%2Fg%2F11c74cyx6l!19sChIJXe2gi68Z2jERr0boNPNy_LE?authuser=0&hl=en&rclk=1,12
107,The Prince (formerly Fat Prince) | Modern Arabic & Middle Eastern Restaurant,https://www.google.com/maps/place/The+Prince+%28formerly+Fat+Prince%29+%7C+Modern+Arabic+%26+Middle+Eastern+Restaurant/data=!4m7!3m6!1s0x31da1912d2a3908d:0xb6d7eddabe78fe15!8m2!3d1.2779306!4d103.844885!16s%2Fg%2F11c1q8g1fk!19sChIJjZCj0hIZ2jERFf54vtrt17Y?authuser=0&hl=en&rclk=1,18
108,The Spot - Singapore,https://www.google.com/maps/place/The+Spot+-+Singapore/data=!4m7!3m6!1s0x31da1911a26aaaab:0x13afbe543ee06c01!8m2!3d1.2780388!4d103.8531501!16s%2Fg%2F11ggflm7x6!19sChIJq6pqohEZ2jERAWzgPlS-rxM?authuser=0&hl=en&rclk=1,24
109,The Tavern Restaurant,https://www.google.com/maps/place/The+Tavern+Restaurant/data=!4m7!3m6!1s0x31da1998d47b71a9:0x6f10a868316b50ec!8m2!3d1.2938406!4d103.8423604!16s%2Fg%2F1v2dz0g6!19sChIJqXF71JgZ2jER7FBrMWioEG8?authuser=0&hl=en&rclk=1,15
110,Tim Ho Wan,https://www.google.com/maps/place/Tim+Ho+Wan/data=!4m7!3m6!1s0x31da1919e011dc2d:0xe4057de889f40a70!8m2!3d1.2827284!4d103.8578119!16s%2Fg%2F11h_4_6xvj!19sChIJLdwR4BkZ2jERcAr0ieh9BeQ?authuser=0&hl=en&rclk=1,8
111,Town Restaurant,https://www.google.com/maps/place/Town+Restaurant/data=!4m7!3m6!1s0x31da19090f9c176f:0xd76f81b0a9ba57bb!8m2!3d1.286328!4d103.853084!16s%2Fg%2F1tl0tw3p!19sChIJbxecDwkZ2jERu1e6qbCBb9c?authuser=0&hl=en&rclk=1,17
112,Tóng Lè Private Dining,https://www.google.com/maps/place/T%C3%B3ng+L%C3%A8+Private+Dining/data=!4m7!3m6!1s0x31da190ee66fb7e9:0xe188a1071d67c0e0!8m2!3d1.283527!4d103.853136!16s%2Fg%2F11btmb4pfv!19sChIJ6bdv5g4Z2jER4MBnHQehiOE?authuser=0&hl=en&rclk=1,24
113,VUE,https://www.google.com/maps/place/VUE/data=!4m7!3m6!1s0x31da1958beb987f3:0xa44140a4a11e94c4!8m2!3d1.2830712!4d103.853012!16s%2Fg%2F11fnr871js!19sChIJ84e5vlgZ2jERxJQeoaRAQaQ?authuser=0&hl=en&rclk=1,20
114,WAKANUI GRILL DINING SINGAPORE,https://www.google.com/maps/place/WAKANUI+GRILL+DINING+SINGAPORE/data=!4m7!3m6!1s0x31da1911baee24fd:0x57dd205f579159b8!8m2!3d1.2776331!4d103.8531473!16s%2Fg%2F11f130f3gn!19sChIJ_STuuhEZ2jERuFmRV18g3Vc?authuser=0&hl=en&rclk=1,19
115,Waterfall Ristorante Italiano,https://www.google.com/maps/place/Waterfall+Ristorante+Italiano/data=!4m7!3m6!1s0x31da19f47a984e11:0xcb420aed97d806e2!8m2!3d1.3117795!4d103.8261646!16s%2Fg%2F1hhhn58wq!19sChIJEU6YevQZ2jER4gbYl-0KQss?authuser=0&hl=en&rclk=1,5
116,Whitegrass Restaurant,https://www.google.com/maps/place/Whitegrass+Restaurant/data=!4m7!3m6!1s0x31da19a4696c9191:0xf3de062779290237!8m2!3d1.2955575!4d103.8519487!16s%2Fg%2F11clwjb1gj!19sChIJkZFsaaQZ2jERNwIpeScG3vM?authuser=0&hl=en&rclk=1,21
117,Yan Restaurant at National Gallery Singapore 宴中餐馆,https://www.google.com/maps/place/Yan+Restaurant+at+National+Gallery+Singapore+%E5%AE%B4%E4%B8%AD%E9%A4%90%E9%A6%86/data=!4m7!3m6!1s0x31da19a74f7c1c2f:0xa91b262101f3335c!8m2!3d1.2902783!4d103.8517729!16s%2Fg%2F11ckvf8ycr!19sChIJLxx8T6cZ2jERXDPzASEmG6k?authuser=0&hl=en&rclk=1,14
118,Yardbird Southern Table and Bar,https://www.google.com/maps/place/Yardbird+Southern+Table+and+Bar/data=!4m7!3m6!1s0x31da1905c12ad69f:0x94f80905671dd41!8m2!3d1.2830591!4d103.8580401!16s%2Fg%2F11fzb1vljq!19sChIJn9YqwQUZ2jERQd1xVpCATwk?authuser=0&hl=en&rclk=1,21
119,Yellow Pot Tanjong Pagar,https://www.google.com/maps/place/Yellow+Pot+Tanjong+Pagar/data=!4m7!3m6!1s0x31da1959f5c7fc3f:0x113344a3343f235!8m2!3d1.2786983!4d103.84319!16s%2Fg%2F11ghdrcwtj!19sChIJP_zH9VkZ2jERNfJDM0o0EwE?authuser=0&hl=en&rclk=1,9
120,Zén,https://www.google.com/maps/place/Z%C3%A9n/data=!4m7!3m6!1s0x31da1999266119a7:0xcaf133f88dc80cee!8m2!3d1.2794687!4d103.8403607!16s%2Fg%2F11h1y86sk6!19sChIJpxlhJpkZ2jER7gzIjfgz8co?authuser=0&hl=en&rclk=1,8
121,il Cielo,https://www.google.com/maps/place/il+Cielo/data=!4m7!3m6!1s0x31da198cf1020615:0xa421bbb6591c8b02!8m2!3d1.3059057!4d103.8293282!16s%2Fg%2F1th54h_q!19sChIJFQYC8YwZ2jERAoscWba7IaQ?authuser=0&hl=en&rclk=1,4
